"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0S940","2020-04-30 00:00:00","150.000","0.000","0.200","21.800","0.810","1001.000","","1.500","-99.000","-99.000","-99.000","27.200","","20.200",""
"CM0110","2020-04-30 00:00:00","7.000","0.000","0.000","21.900","0.830","1015.800","","-99.000","-99.000","-99.000","-99.000","26.400","","20.200",""
"C0A970","2020-04-30 00:00:00","96.000","171.000","13.200","21.400","0.990","1006.500","","0.000","-99.000","-99.000","-99.000","24.100","","19.700",""
"C0M700","2020-04-30 00:00:00","150.000","94.000","0.300","20.300","0.950","1000.100","","0.000","-99.000","-99.000","-99.000","30.000","","18.500",""
"C0U990","2020-04-30 00:00:00","31.000","261.000","1.600","20.000","0.910","1015.600","","0.000","-99.000","-99.000","-99.000","25.600","","18.400",""
"C0D590","2020-04-30 00:00:00","143.000","133.000","0.400","20.100","0.880","1001.500","","0.000","-99.000","-99.000","-99.000","27.200","","18.900",""
"C0S790","2020-04-30 00:00:00","236.000","337.000","1.000","19.800","0.860","993.200","","0.000","-99.000","-99.000","-99.000","27.800","","18.500",""
"C0A570","2020-04-30 00:00:00","360.000","0.000","0.000","17.900","0.920","976.600","","0.000","-99.000","-99.000","-99.000","25.000","","16.500",""
"C0M800","2020-04-30 00:00:00","440.000","0.000","0.000","20.100","0.880","967.700","","0.000","-99.000","-99.000","-99.000","29.300","","17.100",""
"C0E870","2020-04-30 00:00:00","34.000","0.000","0.000","20.300","0.990","1014.200","","0.000","-99.000","-99.000","-99.000","27.600","","18.400",""
"C0V490","2020-04-30 00:00:00","20.000","317.000","1.400","25.000","0.990","1014.500","","0.000","-99.000","-99.000","-99.000","28.800","","24.600",""
"C0M710","2020-04-30 00:00:00","15.000","13.000","0.300","22.600","0.900","1015.000","","0.000","-99.000","-99.000","-99.000","25.800","","21.600",""
"C0D570","2020-04-30 00:00:00","15.000","0.000","0.200","19.400","1.000","1014.800","","0.000","-99.000","-99.000","-99.000","28.500","","18.200",""
"C0S910","2020-04-30 00:00:00","212.000","125.000","1.400","23.000","0.990","994.900","","0.000","6.900","81.000","","24.600","","21.800",""
"C0M650","2020-04-30 00:00:00","20.000","348.000","0.300","22.000","0.920","1014.600","","0.000","-99.000","-99.000","-99.000","28.500","","20.100",""
"C0K280","2020-04-30 00:00:00","23.000","0.000","0.000","19.700","1.000","1016.100","","0.000","-99.000","-99.000","-99.000","30.000","","18.800",""
"C0X310","2020-04-30 00:00:00","9.000","43.000","0.800","23.200","0.800","1016.300","","0.000","-99.000","-99.000","-99.000","26.000","","22.600",""
"C0A9C0","2020-04-30 00:00:00","35.000","112.000","1.300","23.800","0.680","1012.900","","0.000","-99.000","-99.000","-99.000","29.400","","21.900",""
"C0V810","2020-04-30 00:00:00","32.000","5.000","1.500","24.300","0.840","1011.800","","0.000","-99.000","-99.000","-99.000","26.900","","24.100",""
"C0E730","2020-04-30 00:00:00","26.000","126.000","0.700","21.200","0.850","1012.000","","0.000","-99.000","-99.000","-99.000","27.700","","19.500",""
"C0V770","2020-04-30 00:00:00","26.000","60.000","1.000","24.200","0.810","1013.400","","0.000","-99.000","-99.000","-99.000","30.300","","22.700",""
"C0UA10","2020-04-30 00:00:00","1711.000","317.000","0.900","9.500","1.000","836.100","","0.500","-99.000","-99.000","-99.000","14.100","","8.700",""
"C0R660","2020-04-30 00:00:00","20.000","145.000","1.800","23.700","0.710","1014.700","","0.000","-99.000","-99.000","-99.000","28.900","","23.000",""
"C0M640","2020-04-30 00:00:00","155.000","0.000","0.000","21.900","0.840","998.700","","0.000","-99.000","-99.000","-99.000","28.700","","20.500",""
"C0S660","2020-04-30 00:00:00","794.000","248.000","0.600","17.300","0.890","931.600","","0.000","-99.000","-99.000","-99.000","23.800","","13.200",""
"C0G900","2020-04-30 00:00:00","20.000","102.000","1.100","23.400","0.880","1013.300","","0.000","-99.000","-99.000","-99.000","25.500","","21.300",""
"C0AD40","2020-04-30 00:00:00","32.000","181.000","1.100","20.100","0.830","1012.500","","0.000","-99.000","-99.000","-99.000","29.500","","19.500",""
"C0UA00","2020-04-30 00:00:00","392.000","0.000","0.200","19.000","0.930","974.900","","0.000","-99.000","-99.000","-99.000","26.200","","16.900",""
"C0I080","2020-04-30 00:00:00","536.000","0.000","0.000","18.800","0.860","959.400","","0.000","-99.000","-99.000","-99.000","29.700","","17.000",""
"C0UA30","2020-04-30 00:00:00","1397.000","228.000","0.800","12.300","1.000","865.000","","0.000","-99.000","-99.000","-99.000","16.900","","10.800",""
"C0Z270","2020-04-30 00:00:00","343.000","231.000","1.000","19.900","0.870","980.200","","0.500","-99.000","-99.000","-99.000","23.600","","16.700",""
"C0G750","2020-04-30 00:00:00","31.000","175.000","0.300","21.200","0.940","1013.800","","-99.000","-99.000","-99.000","-99.000","27.600","","19.800",""
"C0A550","2020-04-30 00:00:00","422.000","121.000","0.300","19.600","0.970","970.000","","0.000","-99.000","-99.000","-99.000","24.000","","17.900",""
"C0E810","2020-04-30 00:00:00","53.000","0.000","0.100","18.300","0.990","1010.900","","0.000","-99.000","-99.000","-99.000","29.400","","16.900",""
"C0R640","2020-04-30 00:00:00","21.000","44.000","1.600","25.200","0.850","1014.000","","0.000","-99.000","-99.000","-99.000","28.200","","23.400",""
"C0D580","2020-04-30 00:00:00","120.000","0.000","0.000","17.800","0.970","1002.700","","0.000","-99.000","-99.000","-99.000","29.000","","16.800",""
"C0M660","2020-04-30 00:00:00","40.000","190.000","0.600","21.900","0.950","1012.500","","0.000","-99.000","-99.000","-99.000","27.700","","20.200",""
"C0K330","2020-04-30 00:00:00","38.000","176.000","0.400","22.200","0.990","1011.800","","0.000","-99.000","-99.000","-99.000","29.000","","20.300",""
"C0E830","2020-04-30 00:00:00","37.000","101.000","1.000","20.600","0.860","1011.900","","0.000","-99.000","-99.000","-99.000","26.000","","20.300",""
"C0X290","2020-04-30 00:00:00","10.000","2.000","0.700","23.500","0.880","1015.400","","0.000","-99.000","-99.000","-99.000","25.600","","22.500",""
"C0U760","2020-04-30 00:00:00","22.000","0.000","0.000","19.000","0.990","1017.400","","0.500","-99.000","-99.000","-99.000","25.900","","18.400",""
"C0U780","2020-04-30 00:00:00","15.000","239.000","1.200","20.600","0.990","1017.100","","0.500","-99.000","-99.000","-99.000","25.800","","18.600",""
"C0H9C0","2020-04-30 00:00:00","3402.000","295.000","1.200","4.600","0.320","680.000","","0.000","-99.000","-99.000","-99.000","9.300","","-1.800",""
"C0R830","2020-04-30 00:00:00","383.000","51.000","4.000","20.400","0.890","973.600","","0.000","-99.000","-99.000","-99.000","23.000","","19.300",""
"C0V650","2020-04-30 00:00:00","28.000","332.000","1.200","24.600","0.840","1015.200","","0.000","-99.000","-99.000","-99.000","27.700","","22.800",""
"C0R720","2020-04-30 00:00:00","214.000","9.000","5.400","22.100","0.830","993.500","","0.000","-99.000","-99.000","-99.000","25.200","","21.200",""
"C0K470","2020-04-30 00:00:00","97.000","110.000","1.300","19.700","0.990","1005.200","","0.000","-99.000","-99.000","-99.000","29.500","","19.000",""
"C0R800","2020-04-30 00:00:00","131.000","130.000","2.700","23.200","0.720","1001.700","","0.000","-99.000","-99.000","-99.000","26.000","","22.200",""
